coddepto,codmpio,coca_presence,inf_q
25,25518,1,4
25,25524,0,1
25,25530,0,3
25,25535,0,2
25,25572,0,1
25,25580,0,2
25,25592,0,1
25,25594,0,2
25,25596,0,2
25,25599,0,2
25,25612,0,1
25,25645,0,1
25,25649,0,1
25,25653,0,4
25,25658,0,1
25,25662,0,2
25,25718,0,1
25,25736,0,1
25,25740,0,1
25,25743,0,1
25,25745,0,1
25,25754,0,2
25,25758,0,1
25,25769,0,1
25,25772,0,1
25,25777,0,4
25,25779,0,1
25,25781,0,2
25,25785,0,2
25,25793,0,1
25,25797,0,1
25,25799,0,1
25,25805,0,1
25,25807,0,2
25,25815,0,1
25,25817,0,1
25,25823,1,3
25,25839,0,3
25,25841,0,1
25,25843,0,1
25,25845,0,2
25,25851,0,2
25,25862,0,1
25,25867,0,1
25,25871,0,4
25,25873,0,1
25,25875,0,1
25,25878,0,2
25,25885,1,4
25,25898,0,1
25,25899,0,1
27,27001,1,3
27,27006,0,4
27,27025,1,4
27,27050,0,1
27,27073,0,4
27,27075,0,4
27,27077,1,1
27,27099,0,4
27,27135,1,3
27,27205,1,4
27,27245,0,4
27,27361,1,4
27,27372,0,4
27,27413,0,4
27,27491,1,4
27,27495,1,4
27,27615,0,4
27,27660,1,1
27,27787,1,4
27,27800,0,4
41,41001,0,2
41,41006,0,3
41,41013,0,2
41,41016,0,1
41,41020,0,3
41,41026,0,1
41,41078,0,2
41,41132,0,1
41,41206,0,4
41,41244,0,2
41,41298,0,3
41,41306,0,1
41,41319,0,2
41,41349,0,2
41,41357,0,3
41,41359,0,4
41,41378,0,3
41,41396,0,2
41,41483,0,2
41,41503,0,4
41,41518,0,1
41,41524,0,2
41,41530,0,3
41,41548,0,2
41,41551,0,2
41,41615,0,1
41,41660,0,4
41,41668,0,4
41,41676,0,3
41,41770,0,3
41,41791,0,2
41,41797,0,1
41,41799,0,2
41,41801,0,3
41,41807,0,2
41,41872,0,2
41,41885,0,1
44,44001,1,4
44,44035,0,4
44,44078,0,4
44,44090,1,4
44,44098,1,4
44,44279,0,4
44,44378,0,3
44,44420,0,4
44,44430,0,4
44,44560,0,4
44,44650,1,4
44,44847,0,4
44,44855,0,4
44,44874,0,4
47,47001,1,4
47,47030,0,1
47,47053,0,4
47,47058,0,3
47,47161,0,4
47,47170,0,3
47,47189,1,4
47,47205,0,4
47,47245,0,4
47,47258,0,3
47,47268,0,2
47,47288,0,3
47,47318,0,3
47,47460,0,3
47,47541,0,4
47,47545,0,3
47,47551,0,2
47,47555,0,3
47,47570,0,2
47,47605,0,3
47,47660,0,2
47,47675,0,2
47,47692,0,3
47,47703,0,3
47,47707,0,3
47,47720,0,3
47,47745,0,3
47,47798,0,3
47,47960,0,3
47,47980,0,3
50,50001,0,1
50,50006,0,1
50,50110,0,3
50,50124,0,2
50,50150,0,1
50,50223,0,3
50,50226,0,1
50,50245,0,4
50,50251,0,3
50,50270,0,2
50,50287,0,2
50,50313,0,1
50,50318,0,1
50,50325,1,4
50,50330,1,4
50,50350,1,4
50,50370,1,4
50,50400,0,3
50,50450,1,4
50,50568,1,4
50,50573,0,2
50,50577,1,3
50,50590,1,4
50,50606,0,1
50,50680,0,1
50,50683,1,2
50,50686,0,4
50,50689,1,2
50,50711,1,4
52,52001,0,3
52,52019,0,3
52,52022,0,3
52,52036,1,4
52,52051,0,4
52,52079,1,4
52,52083,0,4
52,52110,0,3
52,52203,0,4
52,52207,1,3
52,52210,1,2
52,52215,1,4
52,52224,0,3
52,52227,1,4
52,52233,1,4
52,52240,0,3
52,52250,1,4
52,52254,1,3
52,52256,1,4
52,52258,0,4
52,52260,1,4
52,52287,0,3
52,52317,0,3
52,52320,0,1
52,52323,0,3
52,52352,0,2
52,52354,0,2
52,52356,1,4
52,52378,0,3
52,52381,0,4
52,52385,1,4
52,52399,0,3
52,52405,1,4
52,52411,1,1
52,52418,1,4
52,52427,1,4
52,52435,1,4
52,52473,1,4
52,52480,0,3
52,52490,1,4
52,52506,0,3
52,52520,1,4
52,52540,1,2
52,52560,0,3
52,52565,0,4
52,52573,1,4
52,52585,0,1
52,52612,1,4
52,52621,1,4
52,52678,1,4
52,52683,1,3
52,52685,0,3
52,52687,0,4
52,52693,1,4
52,52694,0,3
52,52696,1,4
52,52699,1,4
52,52720,0,2
52,52786,0,4
52,52788,0,2
52,52835,1,4
52,52838,0,3
52,52885,0,2
54,54001,1,2
54,54003,1,3
54,54051,0,1
54,54099,0,2
54,54109,1,2
54,54125,0,2
54,54128,1,1
54,54172,0,1
54,54174,0,3
54,54206,1,4
54,54223,0,1
54,54239,0,2
